Moises Vidigal
Jordana Figueroa
Sandra Marroquim
Adelina Paredes
Ludovico Tabajara
Elba Meneses
Virginia Guarabira
Amadeu Cerveira
Isilda Chousa
Anibal Pinhal
Zuleide Santarem
Anhanguera Ines
Sandoval Themes
Neusa Gusmao
Filomena Brandao
Paulino Braga
Dinarte Mota
Ximeno Noite
Florencio Gira
Heitor Linhares
Debora Sanches
Jorgina Quental
Liana Passarinho
Margarida Pinto
Arminda Pelaez
Eduardo Rijo
Silvano Bogado
Cidalia Moita
Isaura Bautista
Aurelio Noronha
Laura Pimenta
Elisabete Hipolito
Gueda Bello
Gaudencio Godinho
Florbela Toledo
Abigail Resende
Artur Cotrim
Teodoro Vasques
Zoraide Pasos
Josue Parente
Tiago Lousa
Tiago Collares
Udo Neves
Jamari Dourado
Poliana Aldea
Quiterio Baiao
Tiburcio Camacho
Veronica Otero
Marilda Trindade
Regina Esparteiro
Filipe Varela
Godinho ou Godim Filgueiras
Renata Santos
Flora Guedelha
Telma Amaral
Ibere Silvestre
Felicidade Landim
Heloisa Siqueira
Ruca Rebocho
Mafalda Galindo
Honorio Toledo
Donata Briones
Conceicao Cartaxo
Tabalipa Barros
Floripes Miera
Viridiana Prates
Mercedes Mora
Erica Meneses
Diogenes Pitangui
Mauricio Damasceno
Lucrecia Castilhos
Verissimo Quintas
Abigail Semedo
Cecilia Mortagua
Helio Alvaro
Bras Quiros
Eduardo Mattos
Palmira Godoy
Neusa Nascimento
Caue Bezerril
Iracema Briones
Taissa Cesar
Simeao Rabelo
Sergio Querino
Renata Afonso
Francisca Vilela
Jucara Amado
Elias Goes
Agata Valgueiro
Brigida Tabosa
Rogerio Fraga
Virgilia Varanda
Gina Freitas
Horacio Ramalho
Floriano Guzman
Armindo Sales
Mbicy VilaCha
Xerxes Gimenez
Cassio Britto
Alarico Brito
Jeronimo Barros
Caim Gonzalez
Felisbela Frota
Marilda Trindade
Jordana Cipriano
Edgar Amado
Tiburcio Camacho
Marcelo Lages
Miguelina Zagalo
Galindo Loio
Almor Borba
Itibere Botelho
Rodolfo Velazquez
Gloria Fidalgo
Alceste Aragao
Patricio Quintela
Calisto Setubal
Ingrit Cabral
Alarico Brito
Xavier Espirito Santo
Jaci Teixeira
Clovis Pinheiro
Rosario Palha
Araci Delgado
Margarida Pinto
Burtira Malheiro
Virgilia Lopez
Piedade Aranha
Joana Azevedo
Frederica Proenca
Marco Ornellas
Glauber Falcao
Josue Barretto
Priscila Belem
Poliana Aldea
Marina Medina
Sabina Bulhosa
Helder Moreira
Irani Aveiro
Jeronimo Noguera
Rosario Palha
Carla Rego
Gomes Tigre
Rosalia Candeias
Agata CorteReal
Guterre Patricio
Sabrina Carvalheiro
Belmira Canedo
Lucrecia Castilhos
Heriberto Palhares
Lazaro Melo
Rufus Lamego
Joaquim Morales
Carmem Cysneiros
Carla Cambauva
Apoena Murtinho
Vivaldo Garcia
Inacio Pederneiras
Telma Amaral
Salomao Higuera
Anhanguera Ines
Branco Olaio
Virginia Guarabira
Marlene Coutinho
Graca Fonseca
Micaela Prudente
Gueda Bello
Celeste Ferro
Guadalupe Macieira
Elvio Batata
Roberta Lages
Flavio Murici
Leandro Eiro
Luis Dominguez
Armindo Sales
Isidro Enriquez
Simeao Godoi
Jorgina Garrau
Viridiana Prates
Epaminondas Sucupira
Calisto Mangueira
Paulo Guedella
Custodio Felix
Jordana Figueroa
Taissa Cesar
Antonieta Murtinho
Carmem Lamego
Ubaldo Maciel
Ferdinando Magallanes
Tomasia Rosario
Germano Varao
Maira Damasceno
Carmem Lamego
Nelson Baranda
Ruca Rebocho
Luize Tavora
Deolinda Caneira
Caio Novaes
Guiomar Feijo
Silvio Villar
Flora Guedelha
Romao Olaio
Marco Ornellas
Flora Guedelha
Esperanca Francia
Arminda Pelaez
Asi Roriz
Lucrecia Castilhos
Viviana Lucena
Rosa Barbosa
Cassandra Setubal
Daniel Rebello
Martim Modesto
Filomena Brandao
Laura Nieto
Antonia Canedo
Carmem Lamego
Ovidio Damasio
Cid Lobato
